Title,Last Name,Firstname,Full Name,Function I,Function II,Function III
Prof. Dr.,Thomas,Nicolas,Nicolas Thomas,,,
Prof. Dr.,Thomas,Nicolas,Nicolas Thomas,Director NCCR PlanetS,,
,Keresztes Schmidt,Peter,Peter Keresztes Schmidt,PhD Candidate,,
,Boeren,Nikita,Nikita Boeren,PhD Candidate,,
Dr.,Fortier,Andrea,Andrea Fortier,"Instrument Scientist, CHEOPS",,
,Kipfer,Kristina,Kristina Kipfer,PhD Candidate,,
,Lerch,Nik,Nik Lerch,Polymechaniklernende,,
,Weber,Julian,Julian Weber,Polymechaniklernende,,
Dr.,Riesen,Timm,Timm Riesen,Direktor Stellarium Gornergrat,,
Prof. Dr.,Richter,Virginia,Virginia Richter,Vice Rector for Development ,,
Prof. Dr.,Wurz,Peter,Peter Wurz,Director Physics Institute,,
,Bucher,Brigit,Brigit Bucher,Director Media Relations,,
Dr.,Murk,Axel,Axel Murk,Head of THz-optics,,
,Stöckli,Linus,Linus Stöckli,,,
PD Dr.,Pommerol,Antoine,Antoine Pommerol,,,
,,, ,,,
